Title,Current Price,Original Price,Old Price,Product URL,Ratings,Number of Reviews,Last Seen,Price Dropped?
"Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 Kg)",34490,56999,34490,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGXPH6V5PZNMWU&lid=LSTCOMGXPH6V5PZNMWUALJFDH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMGXPH6V5PZNMWU.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,4.1,107,2025-06-25,No
"ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Thin and Light Laptop  (15.6 Inch, Silver, 1.63 Kg, With MS Office)",30990,50990,29290,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj321ws-thin-light-laptop/p/itmf2da9c7085e1b?pid=COMGNRNUUGYRB96A&lid=LSTCOMGNRNUUGYRB96AXULOGS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN4-fFQnCAnUT7jcCLWo-e19KLmE1Pc6OmV7woxD552yxrPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,4.3,301,2025-06-25,No
,,,90000,https://www.flipkart.com/asus-vivobook-s15-oled-a-part-metal-body-intel-core-i9-13th-gen-13900h-16-gb-512-gb-ssd-windows-11-home-s5504va-ma943ws-thin-light-laptop/p/itm9bb268d9b1aab?pid=COMH3BGBN2AN3TWX&lid=LSTCOMH3BGBN2AN3TWXAFJW5Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMH3BGBN2AN3TWX.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,30990,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=775d28b7-12ad-4022-a4b2-d16d268c4111.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,51990,https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_t7BfAD8-Xt8AaKLP-oOSdwmttktSQqIP_z4bOE-mN49EulB423adEgD4v0iYCtXrovitt3dJ18HtT2fIhbNszvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=96bm2dip4w0000001750792614858&qH=312f91285e048e09,,,2025-06-25,No
,,,70000,https://www.flipkart.com/asus-vivobook-16-2025-copilot-pc-office-2024-m365-basic-ai-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-x1607qa-mb049ws-thin-light-laptop/p/itmaff92a0acb4ff?pid=COMH9EVGZHTHHPFH&lid=LSTCOMH9EVGZHTHHPFHLX91AF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_177&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHqxlPw17CLKKzei1SNO4q7AZ3etgc41qpjsTxTzQOD6NfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
,,,74990,https://www.flipkart.com/asus-vivobook-s14-2025-office-2024-m365-basic-metallic-design-copilot-pc-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-s3407qa-kp020ws-thin-light-laptop/p/itm4be832c0c07b8?pid=COMH9SJ9VPQXUK6T&lid=LSTCOMH9SJ9VPQXUK6TMHCHDN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_178&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHp5vBLsBDU1xZJFZ8ywkJ2kSnV8sJ_ic_ARDlHzvd_VR_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
,,,60990,https://www.flipkart.com/hp-ms-office-2024-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-fd0468tu-thin-light-laptop/p/itmc8ca0b60f166f?pid=COMH8QXWPDAGH9HG&lid=LSTCOMH8QXWPDAGH9HG6S9DHU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_179&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMH8QXWPDAGH9HG.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
,,,63160,https://www.flipkart.com/lenovo-ideapad-slim-5-amd-ryzen-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-14abr8-thin-light-laptop/p/itmc63731ed924b8?pid=COMGRU9ZEBFCDBJZ&lid=LSTCOMGRU9ZEBFCDBJZPTB6O5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_180&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMGRU9ZEBFCDBJZ.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
,,,36990,https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15-fd0129tu-thin-light/p/itmcf7c16556a324?pid=COMHF6WAGPZCBQVZ&lid=LSTCOMHF6WAGPZCBQVZPP4MLX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_181&otracker=search&otracker1=search&fm=organic&iid=en_0yHRmRKGIWoBtLl33JKpU-vJpzxtss0fjbAGxTaZVHq_-YW5aNVkLzQLU3AZEKen0qx9wg3APC1YG8fiVaGCJEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,,,2025-06-25,No
"Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (15.6 inch, Cloud Grey, 1.61 kg, With MS Office)",43100,71290,43100,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_8_183&otracker=search&otracker1=search&fm=organic&iid=3a96f5fb-fad5-455c-991a-d7ba94586d56.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=bul9vbfyyo0000001750792615936&qH=312f91285e048e09,4.2,32,2025-06-25,No
